A/C Model,Tail Number (등록기호),FSN
321-231,HL7729,54
321-231,HL8365,151
321-231,HL7730,252
320-232,HL7744,303
320-232,HL7753,305
321-231,HL7789,351
321-231,HL7790,352
321-231,HL8255,353
321-231,HL8257,354
321-231,HL8256,356
321-231,HL8277,359
321-231,HL8278,360
321-231,HL8279,361
321-231,HL8004,364
321-231,HL8018,365
321-231,HL8038,366
321-231,HL8039,367
321-231,HL8059,368
321-231,HL8060,369
321-231,HL8071,370
321-231,HL8074,371
320-232,HL8055,451
321-232,HL8072,551
321-232,HL8073,552
321-231,HL8099,601
321-231,HL7210,651
321-231,HL7211,701
321-231,HL7212,702
320-232,HL8309,751
320-232,HL8328,752
321-251NX,HL8364,801
321-251NX,HL8371,802
321-251NX,HL8356,803
321-251NX,HL8398,804
321-251NX,HL8399,805
321-251NX,HL8510,806
321-251NX,HL8511,807
321-251NX,HL8533,808
321-251NX,HL8534,809
321-251NX,HL8582,810
321-251NX,HL8584,811
321-251NX,HL8586,812
321-251NX,HL8705,813
321-251NX,HL8366,851
321-251NX,HL8394,852
321-251NX,HL8395,951
321-251NX,HL8396,952
321-251NX,HL8357,953
321-251NX,HL8504,954
321-251NX,HL8525,955
321-251NX,HL8526,956
330-323,HL7736,1
330-323,HL7740,2
330-323,HL7741,3
330-323,HL7746,4
330-323,HL7747,5
330-323,HL7754,6
330-323,HL7792,7
330-323,HL7793,8
330-323,HL7794,51
330-323,HL7795,52
330-323,HL8258,53
330-323,HL8259,54
330-323,HL8282,55
330-323,HL8286,56
330-323,HL8293,57
350-941,HL8078,1
350-941,HL8079,2
350-941,HL7578,3
350-941,HL7579,4
350-941,HL7771,5
350-941,HL8308,6
350-941,HL8359,7
350-941,HL8360,8
350-941,HL8361,9
350-941,HL8362,10
350-941,HL8381,11
350-941,HL8382,12
350-941,HL8383,13
350-941,HL8521,14
350-941,HL8522,15
380-841,HL7625,1
380-841,HL7626,2
380-841,HL7634,3
380-841,HL7635,4
380-841,HL7640,5
380-841,HL7641,6
