기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A321,A. Configuration,Put CHOCK - WHEEL(S) in position,Ref. AMM TASK 10-11-00-555-015
A321,A. Configuration,Make sure that the landing-gear safety devices are installed,Ref. AMM TASK 32-00-00-481-001
A321,A. Configuration,Make sure that the landing-gear doors safety devices are installed,Ref. AMM TASK 32-00-00-481-002
A321,A. Configuration,Install aircraft protection equipment,Ref. AMM TASK 10-11-00-555-013
A321,A. Configuration,Electrically ground the aircraft (E/E),Ref. AMM TASK 12-34-24-869-002
A321,A. Configuration,Make sure that the flaps and the slats are retracted,Ref. AMM TASK 27-50-00-866-009
A321,A. Configuration,Make sure that the spoilers are retracted,Ref. AMM TASK 27-60-00-866-002
A321,A. Configuration,Make sure that the thrust reversers are unserviceable,Ref. AMM TASK 78-30-00-040-013
A321,A. Configuration,Make sure that the thrust reversers are unserviceable,Ref. AMM TASK 78-30-00-040-807
A321,B. Deactivation,Deactivation/Reactivation procedures,Refer to the MMEL or CDL
A321,C. Energization,Energize the aircraft electrical circuits from the external power,Ref. AMM TASK 24-41-00-861-002
A321,C. Energization,Energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-861-002
A321,C. Energization,De-energize the aircraft electrical circuits from the external power,Ref. AMM TASK 24-41-00-862-002
A321,C. Energization,De-energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-862-002
A321,C. Pressurization,Pressurize the Green hydraulic system,Ref. AMM TASK 29-10-00-863-001
A321,C. Pressurization,Pressurize the Green hydraulic system,Ref. AMM TASK 29-23-00-863-001
A321,C. Pressurization,Pressurize the Yellow hydraulic system,Ref. AMM TASK 29-10-00-863-002
A321,C. Pressurization,Pressurize the Yellow hydraulic system,Ref. AMM TASK 29-23-00-863-002
A321,C. Pressurization,Pressurize the Blue hydraulic system with a ground power supply,Ref. AMM TASK 29-10-00-863-003
A321,C. Pressurization,Pressurize the Blue hydraulic system with the electric pump,Ref. AMM TASK 29-10-00-863-003
A321,C. Pressurization,Depressurize the Green hydraulic system,Ref. AMM TASK 29-10-00-864-001
A321,C. Pressurization,Depressurize the Green hydraulic system,Ref. AMM TASK 29-23-00-864-001
A321,C. Pressurization,Depressurize the Yellow hydraulic system,Ref. AMM TASK 29-10-00-864-002
A321,C. Pressurization,Depressurize the Yellow hydraulic system,Ref. AMM TASK 29-23-00-864-001
A321,C. Pressurization,Depressurize the Blue hydraulic system,Ref. AMM TASK 29-10-00-864-003
A321,C. Pressurization,Depressurize the brake system,Ref. AMM TASK 29-10-00-864-004
A321,C. Pressurization,Put the related hydraulic system in depressurized configuration before maintenance,Ref. AMM TASK 29-00-00-864-001
A321,C. Pressurization,Pressurize the bleed system through the High Pressure (HP) ground connector,Ref. AMM TASK 36-12-00-860-002
A321,D. Access Doors,Open the passenger/crew door,Ref. AMM TASK 52-10-00-010-001
A321,D. Access Doors,Close the passenger/crew door,Ref. AMM TASK 52-10-00-410-001
A321,D. Access Doors,Open the avionics compartment doors,Ref. AMM TASK 52-41-00-010-002
A321,D. Access Doors,Close the avionics compartment doors,Ref. AMM TASK 52-41-00-410-002
A321,D. Access Doors,Open the Main Gear door,Ref. AMM TASK 32-12-00-010-001
A321,D. Access Doors,Close the Main Gear door,Ref. AMM TASK 32-12-00-410-001
A321,D. Access Doors,Open the Nose Gear door,Ref. AMM TASK 32-22-00-010-001
A321,D. Access Doors,Close the Nose Gear door,Ref. AMM TASK 32-12-00-410-001
A321,D. Access Doors,Open the APU doors,Ref. AMM TASK 52-41-00-010-001
A321,D. Access Doors,Close the APU doors,Ref. AMM TASK 52-41-00-410-001
A321,D. Access Doors,Open the fan cowl doors,Ref. AMM TASK 71-13-00-010-010
A321,D. Access Doors,Open the fan cowl doors,Ref. AMM TASK 71-13-00-010-803
A321,D. Access Doors,Close the fan cowl doors,Ref. AMM TASK 71-13-00-410-010
A321,D. Access Doors,Close the fan cowl doors,Ref. AMM TASK 71-13-00-410-803
A321,D. Access Doors,Open the thrust reverser doors,Ref. AMM TASK 78-32-00-010-010
A321,D. Access Doors,Open the thrust reverser doors,Ref. AMM TASK 78-36-00-010-806
A321,D. Access Doors,Close the thrust reverser doors,Ref. AMM TASK 78-32-00-410-010
A321,D. Access Doors,Close the thrust reverser doors,Ref. AMM TASK 78-36-00-410-806
A321,E. Fasteners,"Wing-to-fuselage fairings, the belly fairing access-panels and the belly-fairing louver-panel vanes",Ref. AMM TASK 53-35-00-200-002
A321,E. Fasteners,Vertical-stabilizer trailing-edge access-panels,Ref. AMM TASK 55-33-00-200-001
A321,E. Fasteners,Vertical stabilizer fairings and the rudder fairings,Ref. AMM TASK 53-55-00-200-802
A321,E. Fasteners,Lower-deck forward cargo-compartment lining panels,Ref. AMM TASK 25-54-12-300-001
A321,E. Fasteners,Lower-deck aft cargo-compartment lining panels,Ref. AMM TASK 25-55-11-300-001
A321,E. Fasteners,Lower-deck bulk cargo-compartment lining panels,Ref. AMM TASK 25-55-12-300-001
A321,E. Fasteners,Additional-center-tank integrated impact-wall (if installed),Ref. AMM TASK 28-28-00-200-002
A321,E. Fasteners,Pylon fairing panels,Ref. AMM TASK 54-50-00-200-003
A321,E. Fasteners,Pylon fairing panels,Ref. SRM 54-52-11-283-014
A321,E. Fasteners,Pylon fairing panels,Ref. SRM 54-52-11-283-022
A321,E. Fasteners,Forward engine mount,Ref. AMM TASK 71-21-12-200-011
A321,E. Fasteners,Thrust-reverser blocker doors and linkages,Ref. AMM TASK 78-32-00-200-014
A321,E. Fasteners,Mixed exhaust system,Ref. AMM TASK 78-10-00-200-012
A321,F. Antennas,"Location of the Antennas, Probes, Sensors and Exterior Lights","Ref. Fig. Location of the Antennas, Probes, Sensors and Exterior Lights"
A321,F. Antennas,"Location of the Antennas, Probes, Sensors and Exterior Lights","Ref. Fig. Location of the Antennas, Probes, Sensors and Exterior Lights"
A321,G. Servicing,Fill the hydraulic fluid reservoir with a hand pump,Ref. AMM TASK 12-12-29-611-001
A321,G. Servicing,Fill the hydraulic fluid reservoir with a hydraulic service cart,Ref. AMM TASK 12-12-29-611-002
A321,G. Servicing,Do a check of the fluid level on the reservoir indicators,Ref. AMM TASK 29-10-00-200-001
A321,G. Servicing,General rules and main links to the hydraulic systems (bleeding and others),Ref. AMM TASK 29-00-00-910-004
A321,G. Servicing,Check of the nitrogen charge pressure on the hydraulic power accumulators,Ref. AMM TASK 29-10-00-200-008
A321,G. Servicing,Check of the nitrogen charge pressure on the parking/emergency accumulators with the reading gauge,Ref. AMM TASK 32-44-11-200-001
A321,G. Servicing,Charge the door damper and the emergency operation cylinder of the emergency exit doors (if installed),Ref. AMM TASK 52-22-00-614-002
A321,G. Servicing,Charge the door damper and the emergency operation cylinder of the passenger/crew doors,Ref. AMM TASK 52-10-00-614-001
A321,G. Servicing,Inspection of the brakes with the wheels,Ref. AMM TASK 32-42-27-210-001
A321,G. Servicing,Inspection of the brakes without wheels,Ref. AMM TASK 32-42-27-210-006
A321,G. Servicing,Inspection of the wheels and the tires,Ref. AMM TASK 32-41-00-210-002
A321,G. Servicing,Check of the fluid level of the NLG shock absorber,Ref. AMM TASK 12-12-32-611-001
A321,G. Servicing,Check of the charge pressure of the NLG shock absorber,Ref. AMM TASK 12-14-32-614-004
A321,G. Servicing,Check of the fluid level of the MLG shock absorbers,Ref. AMM TASK 12-12-32-611-004
A321,G. Servicing,Check of the MLG shock absorbers before the flight,Ref. AMM TASK 12-14-32-200-001
A321,G. Servicing,Check of the engine oil level and replenish,Ref. AMM TASK 12-13-79-610-011
A321,G. Servicing,Check of the engine oil level and replenish,Ref. AMM TASK 12-13-79-610-805
A321,G. Servicing,Check of the oil-level check of the starter,Ref. AMM TASK 12-13-80-600-010
A321,G. Servicing,Check of the IDG oil level and replenish,Ref. AMM TASK 12-13-24-612-011
A321,G. Servicing,Check of the IDG oil level and replenish,Ref. AMM TASK 12-13-24-612-804
A321,G. Servicing,Check of the APU oil level and replenish,Ref. AMM TASK 12-13-49-612-001
A321,G. Servicing,Pressure refueling with automatic control,Ref. AMM TASK 12-11-28-650-003
A321,G. Servicing,Pressure refueling with manual control,Ref. AMM TASK 12-11-28-650-004
A321,G. Servicing,Pressure refueling without electrical power,Ref. AMM TASK 12-11-28-650-005
A321,G. Servicing,Overwing refuel (if installed),Ref. AMM TASK 12-11-28-650-006
A321,G. Servicing,Drain the water content from the tanks,Ref. AMM TASK 12-32-28-281-001
A321,G. Servicing,Fill the passenger oxygen cylinder (if installed),Ref. AMM TASK 35-21-00-614-002
A321,G. Servicing,Check of the pressure of the crew oxygen cylinder (Cockpit),Ref. AMM TASK 35-10-00-040-001
A321,G. Servicing,Functional test of the emergency lights in the cabin with the LIGHT EMER pushbutton switch,Ref. AMM TASK 33-51-00-710-007
A321,G. Servicing,Functional test of the emergency lights in the cabin with the TEST EMER LIGHT SYS pushbutton switch,Ref. AMM TASK 33-51-00-710-001
A321,G. Servicing,Check of all the cabin lights and signs,Ref. AMM TASK 33-51-00-710-009
A321,G. Servicing,Fill the potable-water tank system with aircraft electrical power,Ref. AMM TASK 12-15-38-613-001
A321,G. Servicing,Fill the potable-water tank system without aircraft electrical power,Ref. AMM TASK 12-15-38-613-002
A321,G. Servicing,Drain the potable water system with electrical power,Ref. AMM TASK 12-24-38-680-001
A321,G. Servicing,Drain the potable water system without electrical power,Ref. AMM TASK 12-24-38-680-002
A321,G. Servicing,Servicing of the toilet system,Ref. AMM TASK 12-16-38-613-001
A321,G. Servicing,Servicing of the liquid soap dispenser,Ref. AMM TASK 12-16-25-613-001
A321,G. Servicing,Parking and the storage of the aircraft,Ref. AMM TASK 10-10-00-550-801
A321,G. Servicing,Clean the aircraft externally,Ref. AMM TASK 12-21-11-615-002
A321,G. Servicing,Clean the aircraft internally,Ref. AMM D/O 12-21-12-03
A321,G. Servicing,Fumigation of the aircraft,Ref. AMM TASK 12-21-12-670-002
A321,G. Servicing,Fumigation of the aircraft,Ref. AMM TASK 12-21-12-670-004
A321,G. Servicing,Cold weather procedures,Ref. AMM TASK 12-31-00-600-001
A330,A. Configuration,Put CHOCK - WHEEL(S) in position,Ref. AMM TASK 10-11-00-555-820
A330,A. Configuration,Make sure that the landing-gear safety devices are installed,Ref. AMM TASK 32-00-00-481-801
A330,A. Configuration,Make sure that the safety devices are installed on the landing gear doors,Ref. AMM TASK 32-00-00-481-802
A330,A. Configuration,Install aircraft protection equipment,Ref. AMM TASK 10-11-00-555-814
A330,A. Configuration,Electrically ground the aircraft (E/E),Ref. AMM TASK 12-34-24-860-802
A330,A. Configuration,Make sure that the flaps and the slats are retracted on the ground,Ref. AMM TASK 27-50-00-866-802
A330,A. Configuration,Make sure that the spoilers are retracted,Ref. AMM TASK 27-60-00-866-802
A330,A. Configuration,Make sure that the thrust reversers are unserviceable,Ref. AMM TASK 78-30-00-040-804
A330,B. Deactivation,Deactivation/Reactivation procedures,Refer to the MMEL or CDL
A330,C. Energization,Energize the aircraft electrical circuits from external power A and B,Ref. AMM TASK 24-41-00-861-801
A330,C. Energization,Energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-861-801
A330,C. Energization,De-energize the aircraft electrical circuits from external power A and B,Ref. AMM TASK 24-41-00-862-801
A330,C. Energization,De-energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-862-801
A330,C. Pressurization,Depressurize the Green hydraulic system (pressurized with the ground hydraulic supply),Ref. AMM TASK 29-00-00-864-801
A330,C. Pressurization,Pressurize the Green hydraulic system with the ground hydraulic supply,Ref. AMM TASK 29-00-00-863-801
A330,C. Pressurization,Depressurize the Green hydraulic system (pressurized with the electric pump),Ref. AMM TASK 29-00-00-864-801
A330,C. Pressurization,Pressurize the Green hydraulic system with the electric pump,Ref. AMM TASK 29-00-00-863-801
A330,C. Pressurization,Depressurize the Yellow hydraulic system (pressurized with the ground hydraulic supply),Ref. AMM TASK 29-00-00-864-803
A330,C. Pressurization,Pressurize the Yellow hydraulic system with the ground hydraulic supply,Ref. AMM TASK 29-00-00-863-803
A330,C. Pressurization,Depressurize the Yellow hydraulic system (pressurized with the electric pump),Ref. AMM TASK 29-00-00-864-803
A330,C. Pressurization,Pressurize the Yellow hydraulic system with the electric pump,Ref. AMM TASK 29-00-00-863-803
A330,C. Pressurization,Depressurize the Blue hydraulic system (pressurized with the ground hydraulic supply),Ref. AMM TASK 29-00-00-864-802
A330,C. Pressurization,Pressurize the Blue hydraulic system with the ground hydraulic supply,Ref. AMM TASK 29-00-00-863-802
A330,C. Pressurization,Depressurize the Blue hydraulic system (pressurized with the electric pump),Ref. AMM TASK 29-00-00-864-802
A330,C. Pressurization,Pressurize the Blue hydraulic system with the electric pump,Ref. AMM TASK 29-00-00-863-802
A330,C. Pressurization,Put the hydraulic systems in the depressurized-for-maintenance configuration before maintenance with disconnection of the hydraulic lines/components,Ref. AMM TASK 29-00-00-864-805
A330,C. Pressurization,Put the hydraulic systems back to the normal configuration after maintenance with disconnection of the hydraulic lines/components,Ref. AMM TASK 29-00-00-863-804
A330,C. Pressurization,Put the hydraulic systems in the depressurized-for-maintenance configuration before maintenance with no disconnection of the hydraulic lines/components,Ref. AMM TASK 29-00-00-864-806
A330,C. Pressurization,Put the hydraulic systems back to the normal configuration after maintenance with no disconnection of the hydraulic lines/components,Ref. AMM TASK 29-00-00-863-805
A330,C. Pressurization,Pressurize the bleed system through the APU,Ref. AMM TASK 36-12-00-860-801
A330,C. Pressurization,Pressurize the bleed system through the High Pressure (HP) ground connector,Ref. AMM TASK 36-12-00-860-802
A330,D. Access Doors,Open the passenger/crew doors,Ref. AMM TASK 52-10-00-010-801
A330,D. Access Doors,Close the passenger/crew doors,Ref. AMM TASK 52-10-00-410-801
A330,D. Access Doors,Open the Main Landing Gear (MLG) doors,Ref. AMM TASK 32-12-00-010-801
A330,D. Access Doors,Close the MLG doors,Ref. AMM TASK 32-12-00-410-801
A330,D. Access Doors,Open the Nose Landing Gear (NLG) doors,Ref. AMM TASK 32-22-00-010-801
A330,D. Access Doors,Close the NLG doors,Ref. AMM TASK 32-22-00-410-801
A330,D. Access Doors,Open the fan cowl doors,Ref. AMM TASK 71-13-00-010-802
A330,D. Access Doors,Close the fan cowl doors,Ref. AMM TASK 71-13-00-410-802
A330,D. Access Doors,Open the thrust reverser doors,Ref. AMM TASK 78-30-00-010-801
A330,D. Access Doors,Close the thrust reverser doors,Ref. AMM TASK 78-30-00-410-801
A330,E. Fasteners,Wing-to-fuselage fairings and the belly fairing access-panels,Ref. AMM TASK 53-35-00-200-801
A330,E. Fasteners,Pylon fairing panels,Ref. AMM TASK 54-50-00-200-810
A330,E. Fasteners,Lower-deck forward cargo-compartment lining panels,Ref. AMM TASK 25-52-00-300-803
A330,E. Fasteners,Lower-deck aft cargo-compartment lining panels,Ref. AMM TASK 25-53-00-300-803
A330,E. Fasteners,Lower-deck bulk cargo-compartment lining panels,Ref. AMM TASK 25-54-00-300-803
A330,E. Fasteners,Thrust reverser,Ref. AMM TASK 78-30-00-210-802
A330,E. Fasteners,Thrust reverser,Ref. AMM TASK 78-30-00-210-803
A330,F. Antennas,"Location of the Antennas, Probes, Sensors and Exterior Lights","Ref. Fig. Location of the Antennas, Probes, Sensors and Exterior Lights"
A330,G. Servicing,Check of the hydraulic-reservoir fluid level,Ref. AMM TASK 29-31-00-200-801
A330,G. Servicing,"General rules and main links to the hydraulic system (tests, bleeding and others)",Ref. AMM TASK 29-00-00-910-804
A330,G. Servicing,Check of the nitrogen charge pressure on the hydraulic power accumulators,Ref. AMM TASK 29-10-00-200-802
A330,G. Servicing,Check of the nitrogen charge pressure on the normal and alternate brake-return accumulators with the reading gauges,Ref. AMM TASK 32-40-00-210-804
A330,G. Servicing,Check of the nitrogen charge pressure on the alternate parking-brake accumulators with the reading gauges,Ref. AMM TASK 32-40-00-210-805
A330,G. Servicing,Charge the door damper and the emergency operation cylinders at the emergency exit doors,Ref. AMM TASK 52-22-00-600-801
A330,G. Servicing,Charge the door damper and the emergency operation cylinders at the passenger/crew doors,Ref. AMM TASK 52-10-00-600-802
A330,G. Servicing,Inspection of the tires and the wheels,Ref. AMM TASK 32-41-00-210-803
A330,G. Servicing,Inspection and a wear check of the brakes,Ref. AMM TASK 32-40-00-200-801
A330,G. Servicing,Inspection and a wear check of the brakes,Ref. AMM TASK 32-40-00-210-802
A330,G. Servicing,Nitrogen charge pressure-check of the MLG shock absorbers,Ref. AMM TASK 32-11-00-220-819
A330,G. Servicing,Nitrogen charge pressure-check of the NLG shock absorber,Ref. AMM TASK 32-21-00-720-801
A330,G. Servicing,Visual inspection of the MLG shock absorbers (leakage or correct extension),Ref. AMM TASK 32-11-00-210-802
A330,G. Servicing,Visual inspection of the NLG shock absorber (leakage or correct extension),Ref. AMM TASK 32-21-00-210-806
A330,G. Servicing,Engine oil-level check and the filling,Ref. AMM TASK 79-31-00-040-803
A330,G. Servicing,IDG oil-level check and the filling,Ref. AMM TASK 12-13-24-610-801
A330,G. Servicing,APU oil-level check and the filling,Ref. AMM TASK 12-13-49-612-801
A330,G. Servicing,Pressure refueling with automatic control,Ref. AMM TASK 12-11-28-650-803
A330,G. Servicing,Pressure refueling with manual control,Ref. AMM TASK 12-11-28-650-804
A330,G. Servicing,Drain water contents from the wing tanks,Ref. AMM TASK 12-32-28-281-810
A330,G. Servicing,Drain water contents from the wing tanks,Ref. AMM TASK 12-32-28-281-806
A330,G. Servicing,Drain water contents from the trim tanks,Ref. AMM TASK 12-32-28-281-803
A330,G. Servicing,Filling of the passenger oxygen cylinders (if installed),Ref. AMM TASK 12-14-35-614-801
A330,G. Servicing,Check of the crew-oxygen cylinder pressure (Cockpit),Ref. AMM TASK 35-10-00-040-803
A330,G. Servicing,Operational check of the emergency lights with the Multipurpose Control and Display Unit (MCDU),Ref. AMM TASK 33-51-00-710-801
A330,G. Servicing,"Operational test of the general illumination (cabin, entry, Video Control Center (VCC) and crew rest)",Ref. AMM TASK 33-21-00-710-801
A330,G. Servicing,Operational test of the cabin illumination with the MCDU (if available),Ref. AMM TASK 33-21-00-710-806
A330,G. Servicing,Fill the potable-water tank system with aircraft electrical power,Ref. AMM TASK 12-15-38-613-801
A330,G. Servicing,Fill the potable-water tank system without aircraft electrical power,Ref. AMM TASK 12-15-38-613-802
A330,G. Servicing,Drain the potable water system with electrical power,Ref. AMM TASK 12-24-38-680-801
A330,G. Servicing,Drain the potable water system without electrical power,Ref. AMM TASK 12-24-38-680-802
A330,G. Servicing,Servicing of the toilet system,Ref. AMM TASK 12-16-38-613-801
A330,G. Servicing,Servicing of the liquid soap dispenser,Ref. AMM TASK 12-16-25-613-801
A330,G. Servicing,Park or do the storage of the aircraft,Ref. AMM TASK 10-10-00-555-801
A330,G. Servicing,Clean the aircraft externally,Ref. AMM TASK 12-21-11-615-802
A330,G. Servicing,Clean the aircraft internally,Refer to AMM 12-21-12 PB 301
A330,G. Servicing,Fumigation of the aircraft,Ref. AMM TASK 12-21-12-670-802
A330,G. Servicing,Fumigation of the aircraft,Ref. AMM TASK 12-21-12-670-804
A330,G. Servicing,Anti-icing protection,Ref. AMM TASK 12-31-11-660-801
A330,G. Servicing,De-icing in an open area with the engines stopped,Ref. AMM TASK 12-31-12-660-801
A330,G. Servicing,De-icing in an open area with the engines in operation,Ref. AMM TASK 12-31-12-660-802
A330,G. Servicing,De-icing after a landing with snow on the runways,Ref. AMM TASK 12-31-12-660-803
A350,A. Configuration,Installation of the CHOCK - WHEEL(S),Ref. MP A350-A-10-11-XX-03ZZZ-170Z-A
A350,A. Configuration,Installation of the safety devices on the landing gears,Ref. MP A350-A-32-XX-XX-01ZZZ-397Z-A
A350,A. Configuration,Installation of the safety devices on the landing gear doors,Ref. MP A350-A-32-XX-XX-03ZZZ-397Z-A
A350,A. Configuration,Grounding of the aircraft (E/E),Ref. MP A350-A-24-41-XX-00ZZZ-170Z-A
A350,A. Configuration,Installation of the protection covers/devices on the aircraft,Ref. MP A350-A-10-11-XX-01ZZZ-170Z-A
A350,A. Configuration,"Retraction of the flaps, the slats and the droop noses",Ref. MP A350-A-27-5X-XX-05ZZZ-170Z-A
A350,A. Configuration,Retraction of the spoilers,Ref. MP A350-A-27-64-XX-01ZZZ-170Z-A
A350,A. Configuration,Inhibition of the thrust reverser for maintenance,Ref. MP A350-A-78-3X-XX-00ZZZ-343Z-A
A350,B. Deactivation,Deactivation/Reactivation MPs,Refer to the MMEL or CDL
A350,C. Energization,Energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00ZZZ-761Z-A
